iter	Logloss
0	0.6407194871
1	0.5926164061
2	0.5547954014
3	0.5262071379
4	0.4997932937
5	0.4737796574
6	0.4490516998
7	0.4265296014
8	0.4064123971
9	0.3899133703
10	0.3755751809
11	0.3584847922
12	0.3434231517
13	0.3300300011
14	0.3167981577
15	0.3042576339
16	0.2925962721
17	0.2831060598
18	0.2732711624
19	0.2626183478
20	0.2531903864
21	0.2456393189
22	0.239473301
23	0.2318871257
24	0.2253555256
25	0.2206568246
26	0.2142093994
27	0.20880936
28	0.2049038856
29	0.2001383016
30	0.1941191495
31	0.1880236406
32	0.1830946535
33	0.1785417075
34	0.1740274115
35	0.1699848804
36	0.1669881108
37	0.1635268914
38	0.1607773959
39	0.1568604354
40	0.1538488158
41	0.1513468669
42	0.1490446447
43	0.1456814441
44	0.1429448914
45	0.1401662093
46	0.1373749827
47	0.135290848
48	0.1327617352
49	0.1299826968
