iter	Logloss
0	0.6741245674
1	0.6542302187
2	0.6395685597
3	0.6221109927
4	0.6057891922
5	0.5896140116
6	0.5729253034
7	0.5577920064
8	0.5452754769
9	0.5304043013
10	0.5175295872
11	0.5043544287
12	0.4935747845
13	0.4810743045
14	0.4708107633
15	0.4587969602
16	0.4472456347
17	0.4369630142
18	0.4262034353
19	0.4167102983
20	0.4079297624
21	0.3996554358
22	0.3908388367
23	0.3815332563
24	0.3725348616
25	0.3658110557
26	0.3583539022
27	0.3506331795
28	0.343729722
29	0.3370397868
30	0.3295455859
31	0.3234037948
32	0.3164573773
33	0.3096331144
34	0.3032475841
35	0.2977669295
36	0.2920800157
37	0.2867609741
38	0.2818739884
39	0.2764779986
40	0.2721401898
41	0.2675321456
42	0.2634039266
43	0.259734621
44	0.2546727267
45	0.2511348192
46	0.2461504321
47	0.2417531951
48	0.2377429237
49	0.2339256807
50	0.2300185312
51	0.2255702299
52	0.2231980641
53	0.2200171246
54	0.2165567337
55	0.2138546045
56	0.210355996
57	0.2073322924
58	0.2041818446
59	0.2010248546
60	0.1988626897
61	0.1964801425
62	0.1941795856
63	0.1916120328
64	0.1895022846
65	0.1867919011
66	0.1841151814
67	0.1813278954
68	0.1794959024
69	0.1773444133
70	0.1757949862
71	0.1739338171
72	0.1719554945
73	0.170129021
74	0.1683563014
75	0.1666084172
76	0.1652074078
77	0.1633903021
78	0.1616700492
79	0.1602216683
80	0.1589382388
81	0.1572971199
82	0.1562110424
83	0.1550338759
84	0.1534317602
85	0.1518006775
86	0.1506586115
87	0.1494341074
88	0.1479462854
89	0.146649064
90	0.1453014949
91	0.1443128001
92	0.1433666044
93	0.142133978
94	0.1412158228
95	0.1398543416
96	0.1386962878
97	0.1379202264
98	0.1371840722
99	0.1361172649
100	0.1350509562
101	0.1341679136
102	0.1333645509
103	0.1327755016
104	0.1321240091
105	0.1315842478
106	0.1310668584
107	0.130283835
108	0.1294051999
109	0.1285206737
110	0.1276289075
111	0.1269888881
112	0.1265139213
113	0.1258488548
114	0.1251254884
115	0.1242846429
116	0.123568242
117	0.1229919657
118	0.1223961408
119	0.1217932644
120	0.1211739559
121	0.1206864243
122	0.1200457091
123	0.1196607074
124	0.119252575
125	0.1188329699
126	0.1185304461
127	0.1180206216
128	0.1175729448
129	0.1171585111
130	0.1167637478
131	0.1163962944
132	0.1159214203
133	0.1154135929
134	0.115007033
135	0.1145946417
136	0.1140870692
137	0.1136087957
138	0.1131684637
139	0.1126400455
140	0.1124730898
141	0.1120325725
142	0.1116038661
143	0.1113785303
144	0.1111773121
145	0.1107739042
146	0.1105446144
147	0.1102747003
148	0.1099283336
149	0.1097028496
150	0.1093917179
151	0.1091859247
152	0.1089159863
153	0.1087135907
154	0.1083899163
155	0.1080762917
156	0.1078034045
157	0.1075953557
158	0.1073952158
159	0.1072056595
160	0.1069979981
161	0.1066995038
162	0.1064768248
163	0.1062437665
164	0.106007331
165	0.1058684451
166	0.1056507534
167	0.1054767218
168	0.1052479514
169	0.1049636589
170	0.1046575693
171	0.1044864987
172	0.1042585648
173	0.1040398103
174	0.1037587813
175	0.1035242449
176	0.1032685303
177	0.1031140724
178	0.1029734167
179	0.1028155149
180	0.1026927196
181	0.1025133243
182	0.1023476954
183	0.1021426225
184	0.1019301248
185	0.1017689088
186	0.101593685
187	0.1013901073
188	0.1012378914
189	0.1011279773
190	0.1009697196
191	0.1008363436
192	0.1006568402
193	0.1005967981
194	0.1003914609
195	0.1002432051
196	0.1001042383
197	0.09995661193
198	0.09981901567
199	0.09971524967
