iter	Passed	Remaining
0	1	200
1	1	193
2	2	191
3	4	197
4	5	198
5	6	198
6	7	199
7	8	196
8	9	193
9	10	190
10	10	187
11	11	185
12	12	183
13	13	181
14	14	179
15	15	178
16	16	180
17	17	180
18	19	183
19	20	187
20	21	186
21	22	185
22	23	183
23	24	181
24	25	179
25	26	177
26	27	176
27	28	175
28	29	173
29	30	172
30	31	170
31	32	169
32	33	167
33	34	167
34	35	167
35	36	166
36	37	166
37	38	165
38	39	164
39	40	163
40	41	162
41	42	161
42	43	160
43	45	159
44	45	158
45	46	156
46	47	155
47	48	154
48	50	154
49	51	154
50	52	154
51	54	153
52	54	152
53	55	151
54	56	149
55	57	148
56	58	147
57	59	145
58	60	144
59	61	143
60	62	142
61	63	141
62	64	139
63	65	138
64	66	137
65	67	137
66	68	136
67	69	135
68	70	134
69	71	133
70	72	132
71	73	130
72	74	129
73	75	128
74	76	127
75	77	126
76	78	125
77	79	124
78	80	123
79	81	122
80	83	122
81	84	121
82	85	119
83	86	118
84	87	117
85	87	116
86	88	115
87	89	114
88	90	113
89	91	112
90	92	110
91	93	109
92	94	108
93	95	107
94	96	106
95	97	105
96	99	105
97	100	104
98	101	103
99	102	102
100	102	100
101	103	99
102	104	98
103	105	97
104	106	96
105	107	95
106	108	94
107	109	93
108	110	92
109	111	91
110	112	90
111	113	89
112	114	88
113	115	87
114	116	86
115	117	85
116	118	83
117	119	82
118	120	81
119	121	80
120	122	79
121	122	78
122	123	77
123	124	76
124	125	75
125	126	74
126	127	73
127	128	72
128	129	71
129	131	70
130	131	69
131	132	68
132	133	67
133	134	66
134	135	65
135	136	64
136	137	63
137	138	62
138	139	61
139	140	60
140	141	59
141	142	58
142	143	57
143	144	56
144	145	55
145	146	54
146	147	53
147	148	52
148	150	51
149	151	50
150	152	49
151	153	48
152	154	47
153	155	46
154	156	45
155	157	44
156	157	43
157	158	42
158	160	41
159	161	40
160	162	39
161	163	38
162	164	37
163	165	36
164	166	35
165	167	34
166	168	33
167	169	32
168	170	31
169	171	30
170	172	29
171	173	28
172	174	27
173	175	26
174	176	25
175	177	24
176	178	23
177	179	22
178	180	21
179	181	20
180	182	19
181	183	18
182	184	17
183	185	16
184	186	15
185	187	14
186	187	13
187	188	12
188	189	11
189	190	10
190	192	9
191	193	8
192	194	7
193	195	6
194	196	5
195	197	4
196	197	3
197	198	2
198	199	1
199	200	0
