,,Model,Val Accuracy,Val F1,Val AUC,Test Accuracy,Test F1,Test AUC
Dataset_1,0,Logistic Regression,0.7802197802197802,0.6774193548387096,0.8727272727272728,0.8421052631578947,0.7804878048780488,0.9056665574844416
Dataset_1,1,Random Forest,0.7802197802197802,0.6774193548387096,0.8858585858585858,0.8508771929824561,0.7951807228915663,0.9210612512283
Dataset_1,2,Gradient Boosting,0.8021978021978022,0.71875,0.8848484848484848,0.8157894736842105,0.7529411764705882,0.8811005568293482
Dataset_1,3,SVM,0.7912087912087912,0.6885245901639344,0.895959595959596,0.8508771929824561,0.7951807228915663,0.9053390108090403
Dataset_1,4,Neural Network,0.7802197802197802,0.6875,0.9035353535353535,0.868421052631579,0.8192771084337349,0.9105797576154602
Dataset_1,5,XGBoost,0.8131868131868132,0.7384615384615385,0.9050505050505051,0.8070175438596491,0.75,0.876842450049132
Dataset_1,6,CatBoost,0.8241758241758241,0.7419354838709677,0.888888888888889,0.8421052631578947,0.7804878048780488,0.9027186374058304
Dataset_1,7,LightGBM,0.8131868131868132,0.7301587301587301,0.9045454545454545,0.7982456140350878,0.7228915662650602,0.8860137569603669
Dataset_2,0,Logistic Regression,0.9120879120879121,0.8823529411764706,0.9454545454545454,0.9385964912280702,0.9195402298850575,0.9708483458892893
Dataset_2,1,Random Forest,0.9010989010989011,0.8656716417910447,0.9494949494949495,0.9035087719298246,0.8705882352941177,0.9541434654438257
Dataset_2,2,Gradient Boosting,0.9230769230769231,0.8955223880597015,0.954040404040404,0.8947368421052632,0.8636363636363636,0.9561087454962333
Dataset_2,3,SVM,0.945054945054945,0.927536231884058,0.9383838383838383,0.956140350877193,0.9411764705882353,0.9672453324598755
Dataset_2,4,Neural Network,0.9340659340659341,0.9142857142857143,0.953030303030303,0.9035087719298246,0.8764044943820225,0.9832951195545365
Dataset_2,5,XGBoost,0.9230769230769231,0.8955223880597015,0.9570707070707071,0.9122807017543859,0.8863636363636364,0.9629872256796593
Dataset_2,6,CatBoost,0.9230769230769231,0.8955223880597015,0.9565656565656565,0.8859649122807017,0.8505747126436781,0.9547985587946282
Dataset_2,7,LightGBM,0.9010989010989011,0.8695652173913043,0.96010101010101,0.8859649122807017,0.8505747126436781,0.9597117589256469
Dataset_3,0,Logistic Regression,0.967032967032967,0.9577464788732394,0.9828282828282829,0.9736842105263158,0.9647058823529412,0.99737962659679
Dataset_3,1,Random Forest,0.9340659340659341,0.918918918918919,0.9752525252525253,0.9736842105263158,0.963855421686747,0.9983622666229938
Dataset_3,2,Gradient Boosting,0.9560439560439561,0.9444444444444444,0.9787878787878789,0.9736842105263158,0.9647058823529412,0.9980347199475925
Dataset_3,3,SVM,0.967032967032967,0.9577464788732394,0.9813131313131314,0.9736842105263158,0.9647058823529412,0.99737962659679
Dataset_3,4,Neural Network,0.9560439560439561,0.9444444444444444,0.9797979797979798,0.956140350877193,0.9411764705882353,0.996069439895185
Dataset_3,5,XGBoost,0.967032967032967,0.9577464788732394,0.9888888888888889,0.9912280701754386,0.9882352941176471,0.9990173599737964
Dataset_3,6,CatBoost,0.9560439560439561,0.9444444444444444,0.9833333333333334,0.9736842105263158,0.963855421686747,0.9983622666229938
Dataset_3,7,LightGBM,0.967032967032967,0.9577464788732394,0.9757575757575757,0.9824561403508771,0.9761904761904762,0.9977071732721913
